election_id,country_name,election_date,sum_weighted_eu_anti_pro
4,Romania,2007-01-01,7.961217142857143
5,Portugal,2009-06-07,7.104331818181818
18,Germany,2004-06-13,7.791159595959596
28,Cyprus,2009-06-06,0.0
45,Austria,2004-06-13,7.403755555555556
50,Czech Republic,2006-06-03,6.079139500000001
52,Latvia,2006-10-07,7.793939
79,Bulgaria,2009-07-05,4.780685416666667
80,Slovenia,2004-10-03,7.966575555555556
83,Estonia,2007-03-04,7.330868316831683
93,Germany,2009-09-27,7.6284043408360125
104,Sweden,2004-06-13,5.88807894736842
107,Italy,2006-04-09,6.297117460317461
111,Italy,2008-04-13,6.11475507936508
118,Germany,2005-09-18,7.7177416938110746
123,Ireland,2004-06-13,6.741446153846153
124,Slovakia,2004-06-13,7.885507142857143
130,Estonia,2004-06-13,7.582799999999999
134,Netherlands,2009-06-04,5.694432
140,Portugal,2004-06-13,8.208470833333333
143,Belgium,2003-05-18,7.618462666666666
145,Latvia,2004-06-13,7.7225222222222225
160,France,2004-06-13,6.595178205128205
164,Spain,2004-03-14,8.338166285714285
165,Romania,2004-11-28,8.011301807228916
168,Denmark,2004-06-13,6.091521428571428
171,France,2007-06-17,7.2345856152513
172,Luxembourg,2009-06-07,0.0
174,Denmark,2007-11-13,6.383593296089385
181,Finland,2009-06-07,6.757761538461539
188,Poland,2005-09-25,6.217016304347826
190,Ireland,2007-05-24,7.651312048192771
192,Slovakia,2006-06-17,7.4469080000000005
194,Hungary,2006-04-09,8.26610207253886
195,Slovenia,2009-06-07,8.526757142857143
196,United Kingdom,2004-06-10,4.601515384615385
197,Austria,2006-10-01,7.419828415300547
198,Finland,2004-06-13,7.498035714285715
199,Poland,2004-06-13,6.038138888888889
201,Greece,2004-03-07,8.699545333333333
203,Malta,2008-03-08,0.0
210,Portugal,2005-02-20,8.112084347826086
214,Lithuania,2004-10-24,8.229770212765958
219,France,2009-06-07,6.572920833333334
224,Hungary,2004-06-13,8.0978625
229,Romania,2009-06-07,8.524151515151516
231,Germany,2009-06-07,7.757886868686868
232,Austria,2009-06-07,6.632388235294117
233,United Kingdom,2005-05-05,5.7375990712074305
249,Hungary,2009-06-07,6.629009090909091
253,Finland,2003-03-16,7.069879500000001
255,Poland,2009-06-07,7.917174
264,Greece,2009-06-07,7.486627272727273
302,Latvia,2009-06-07,7.4206375
304,Sweden,2009-06-07,6.476166666666666
309,Denmark,2009-06-07,5.709615384615384
314,Finland,2007-03-18,7.105527
319,Romania,2008-11-30,8.721525149700598
329,Italy,2004-06-12,6.108064102564102
335,Netherlands,2003-01-22,6.701437333333334
337,Lithuania,2009-06-07,8.825633333333334
346,Malta,2004-06-13,0.0
368,Spain,2004-06-13,7.978618518518519
369,Ireland,2009-06-05,7.073958333333334
383,Luxembourg,2004-06-13,0.0
395,Estonia,2009-06-07,5.94275
397,Cyprus,2004-06-13,0.0
401,Belgium,2007-06-10,7.577942666666667
405,Portugal,2009-09-27,7.739543043478261
410,United Kingdom,2009-06-04,4.273509722222222
423,Estonia,2003-03-02,7.403911881188119
432,Bulgaria,2009-06-07,6.149952941176471
441,Slovakia,2009-06-07,7.531784615384615
448,Spain,2009-06-07,7.905851999999999
449,Bulgaria,2007-01-01,8.637516666666667
466,Greece,2007-09-16,8.129296666666667
468,Bulgaria,2007-05-20,5.96585
486,Belgium,2010-06-13,7.518993333333333
500,Spain,2008-03-09,8.39497
509,Malta,2003-04-12,0.0
512,Sweden,2010-09-19,6.7355899713467045
516,Czech Republic,2009-06-07,5.764831818181818
519,Netherlands,2004-06-13,6.244081481481482
522,Slovenia,2008-09-21,7.767298888888889
524,Slovakia,2010-06-12,7.4681386666666665
530,Netherlands,2010-06-09,5.478813333333333
539,Lithuania,2004-06-13,8.571784615384615
549,Italy,2009-06-07,6.0318249999999995
555,Malta,2009-06-06,0.0
556,Cyprus,2006-05-21,0.0
560,Poland,2007-10-19,7.534921956521739
563,Denmark,2005-02-08,6.641185474860335
567,Czech Republic,2004-06-12,5.168025
578,Netherlands,2006-11-22,5.8889499999999995
582,United Kingdom,2010-05-06,4.961007538461539
593,Luxembourg,2004-06-13,0.0
599,Czech Republic,2010-05-29,6.574984
607,Austria,2008-09-28,6.482418579234973
618,Bulgaria,2005-06-25,8.40381875
629,Sweden,2006-09-17,7.051864183381089
638,Belgium,2009-06-07,7.721390909090909
646,Lithuania,2008-10-12,8.65337659574468
651,Greece,2009-10-04,8.104602333333334
656,Belgium,2004-06-13,7.50295
659,Slovenia,2004-06-13,8.730385714285713
662,Luxembourg,2009-06-07,0.0
672,Greece,2004-06-13,7.630779166666668
676,Romania,2007-11-25,9.022628571428571
688,Hungary,2010-04-25,6.45930103626943
690,Latvia,2010-10-02,7.465602
698,Ireland,2011-02-25,7.089995180722892
699,Estonia,2011-03-06,7.667185148514852
700,Finland,2011-04-17,6.179804
701,Cyprus,2011-05-22,0.0
702,Portugal,2011-06-05,7.753839130434782
722,Denmark,2011-09-15,6.414687150837988
765,Latvia,2011-09-17,7.505347
766,Poland,2011-10-09,7.703513913043478
777,Spain,2011-11-20,8.073977142857142
778,Slovenia,2011-12-04,8.049493333333333
781,Slovakia,2012-03-10,7.535849333333333
782,France,2012-06-17,7.390183708838821
783,Greece,2012-05-06,6.687807666666666
784,Greece,2012-06-17,7.3328473333333335
785,Netherlands,2012-09-12,5.721558666666667
786,Lithuania,2012-10-14,8.214971631205675
