election_id,country_name,election_date,sum_weighted_eu_anti_pro,Non-Communication,Non-Conformity,RO,RF
4,Romania,2007-01-01,7.961217142857143,184,8,4,0
5,Portugal,2009-06-07,7.104331818181818,4,10,10,6
18,Germany,2004-06-13,7.791159595959596,41,52,39,21
28,Cyprus,2009-06-06,0.0,87,21,31,4
45,Austria,2004-06-13,7.403755555555556,78,51,41,28
50,Czech Republic,2006-06-03,6.079139500000001,0,0,0,0
52,Latvia,2006-10-07,7.793939,73,42,29,4
79,Bulgaria,2009-07-05,4.780685416666667,85,44,36,7
80,Slovenia,2004-10-03,7.966575555555556,195,52,44,5
83,Estonia,2007-03-04,7.330868316831683,48,30,39,6
93,Germany,2009-09-27,7.6284043408360125,78,47,63,20
104,Sweden,2004-06-13,5.88807894736842,83,38,37,10
107,Italy,2006-04-09,6.297117460317461,122,85,94,52
111,Italy,2008-04-13,6.11475507936508,28,46,37,15
118,Germany,2005-09-18,7.717741693811074,81,121,83,39
123,Ireland,2004-06-13,6.741446153846153,118,54,60,29
124,Slovakia,2004-06-13,7.885507142857143,151,20,23,6
130,Estonia,2004-06-13,7.582799999999999,180,20,29,4
134,Netherlands,2009-06-04,5.694432,14,14,13,7
140,Portugal,2004-06-13,8.208470833333333,38,18,24,11
143,Belgium,2003-05-18,7.618462666666666,78,18,42,14
145,Latvia,2004-06-13,7.7225222222222225,175,22,25,2
160,France,2004-06-13,6.595178205128205,134,119,108,49
164,Spain,2004-03-14,8.338166285714285,2,12,2,0
165,Romania,2004-11-28,8.011301807228916,0,0,0,0
168,Denmark,2004-06-13,6.091521428571428,26,6,10,1
171,France,2007-06-17,7.2345856152513,55,59,41,25
172,Luxembourg,2009-06-07,0.0,0,0,0,0
174,Denmark,2007-11-13,6.383593296089385,28,24,11,0
181,Finland,2009-06-07,6.757761538461539,89,8,22,6
188,Poland,2005-09-25,6.217016304347826,69,74,45,14
190,Ireland,2007-05-24,7.651312048192771,52,44,26,16
192,Slovakia,2006-06-17,7.446908,70,52,30,6
194,Hungary,2006-04-09,8.26610207253886,116,54,40,6
195,Slovenia,2009-06-07,8.526757142857143,79,20,28,4
196,United Kingdom,2004-06-10,4.601515384615385,42,23,17,9
197,Austria,2006-10-01,7.419828415300547,81,43,40,17
198,Finland,2004-06-13,7.498035714285715,140,37,56,27
199,Poland,2004-06-13,6.038138888888889,78,18,12,0
201,Greece,2004-03-07,8.699545333333333,8,14,6,4
203,Malta,2008-03-08,0.0,25,14,11,3
210,Portugal,2005-02-20,8.112084347826086,244,106,188,80
214,Lithuania,2004-10-24,8.229770212765958,90,40,21,3
219,France,2009-06-07,6.572920833333334,86,51,63,30
224,Hungary,2004-06-13,8.0978625,81,23,12,0
229,Romania,2009-06-07,8.524151515151516,110,51,33,2
231,Germany,2009-06-07,7.757886868686868,4,13,4,2
232,Austria,2009-06-07,6.632388235294117,123,46,68,19
233,United Kingdom,2005-05-05,5.737599071207431,159,94,90,40
249,Hungary,2009-06-07,6.629009090909091,27,14,8,1
253,Finland,2003-03-16,7.069879500000001,84,12,17,6
255,Poland,2009-06-07,7.917174,93,39,63,23
264,Greece,2009-06-07,7.486627272727273,10,13,18,5
302,Latvia,2009-06-07,7.4206375,25,14,11,0
304,Sweden,2009-06-07,6.476166666666666,20,14,21,3
309,Denmark,2009-06-07,5.709615384615384,41,12,17,5
314,Finland,2007-03-18,7.105527,88,25,26,8
319,Romania,2008-11-30,8.721525149700598,7,5,2,0
329,Italy,2004-06-12,6.108064102564102,128,131,159,71
335,Netherlands,2003-01-22,6.701437333333334,98,24,34,18
337,Lithuania,2009-06-07,8.825633333333334,65,17,18,2
346,Malta,2004-06-13,0.0,255,65,68,19
368,Spain,2004-06-13,7.978618518518519,124,163,119,68
369,Ireland,2009-06-05,7.073958333333334,51,17,22,9
383,Luxembourg,2004-06-13,0.0,0,0,0,0
395,Estonia,2009-06-07,5.94275,38,9,16,14
397,Cyprus,2004-06-13,0.0,144,32,20,0
401,Belgium,2007-06-10,7.577942666666667,47,66,47,28
405,Portugal,2009-09-27,7.739543043478261,77,19,36,18
410,United Kingdom,2009-06-04,4.273509722222222,22,29,27,3
423,Estonia,2003-03-02,7.403911881188119,0,0,0,0
432,Bulgaria,2009-06-07,6.149952941176471,0,6,0,0
441,Slovakia,2009-06-07,7.531784615384615,15,12,12,1
448,Spain,2009-06-07,7.905851999999999,88,52,50,28
449,Bulgaria,2007-01-01,8.637516666666667,62,1,0,0
466,Greece,2007-09-16,8.129296666666667,62,65,48,31
468,Bulgaria,2007-05-20,5.96585,30,40,12,1
486,Belgium,2010-06-13,7.518993333333333,109,54,91,30
500,Spain,2008-03-09,8.39497,29,36,38,18
509,Malta,2003-04-12,0.0,0,0,0,0
512,Sweden,2010-09-19,6.7355899713467045,56,17,33,6
516,Czech Republic,2009-06-07,5.764831818181818,0,0,0,0
519,Netherlands,2004-06-13,6.244081481481482,70,50,43,19
522,Slovenia,2008-09-21,7.767298888888889,9,7,4,0
524,Slovakia,2010-06-12,7.468138666666666,44,15,19,2
530,Netherlands,2010-06-09,5.478813333333333,45,18,33,9
539,Lithuania,2004-06-13,8.571784615384615,1,1,0,0
549,Italy,2009-06-07,6.031825,183,98,88,25
555,Malta,2009-06-06,0.0,85,31,22,4
556,Cyprus,2006-05-21,0.0,115,45,38,7
560,Poland,2007-10-19,7.534921956521739,68,34,42,25
563,Denmark,2005-02-08,6.641185474860335,70,36,20,2
567,Czech Republic,2004-06-12,5.168025,0,0,0,0
578,Netherlands,2006-11-22,5.88895,49,55,38,20
582,United Kingdom,2010-05-06,4.961007538461539,136,38,50,14
593,Luxembourg,2004-06-13,0.0,0,0,0,0
599,Czech Republic,2010-05-29,6.574984,0,0,0,0
607,Austria,2008-09-28,6.482418579234973,15,11,14,4
618,Bulgaria,2005-06-25,8.40381875,0,0,0,0
