,case_number,member_state,directorate_general,LFN_258,RO_258,RF_258,date_LFN_258,date_RO_258,date_RF_258,LFN_close,year,election_id,election_date,LFN_election,incorrect,workload,daysbeforeED,out_eu_cont,out_left_cont,influence,support,distance,effectiveness,expenditures,pilot,length,commission,addressee,scope,bureaucracy_quality
12106,20030163,Italy,Health and Consumers,1,1,0,2003-01-23,7/9/03,,7/9/03,2003,107,4/9/06,0,0,-0.972005637,1172,3.0054,3.8459,2.34213704,1.085311693,0.47802683,-0.636358644,0.274860149,0.0,,,,,-1.03732397
12096,20030152,Italy,Enterprise and Industry,1,1,0,2003-01-23,7/9/03,,7/9/03,2003,107,4/9/06,0,0,-0.972005637,1172,3.0054,3.8459,2.34213704,1.085311693,0.47802683,-0.636358644,0.274860149,0.0,,,,,-1.03732397
12097,20030153,Italy,Enterprise and Industry,1,0,0,2003-01-23,,,7/9/03,2003,107,4/9/06,0,0,-0.684471159,1172,3.0054,3.8459,2.34213704,1.085311693,0.47802683,-0.636358644,0.274860149,0.0,,,,,-1.03732397
12098,20030154,Italy,Enterprise and Industry,1,0,0,2003-01-23,,,7/9/03,2003,107,4/9/06,0,0,-0.684471159,1172,3.0054,3.8459,2.34213704,1.085311693,0.47802683,-0.636358644,0.274860149,0.0,,,,,-1.03732397
12099,20030155,Italy,Environment,1,1,1,2003-01-23,7/9/03,12/16/03,7/9/03,2003,107,4/9/06,0,0,-1.163695288,1172,3.0054,3.8459,2.34213704,1.085311693,0.47802683,-0.636358644,0.274860149,0.0,,,,,-1.03732397
12112,20030169,Italy,Energy,1,0,0,2003-01-23,,,7/9/03,2003,107,4/9/06,0,0,-0.684471159,1172,3.0054,3.8459,2.34213704,1.085311693,0.47802683,-0.636358644,0.274860149,0.0,,,,,-1.03732397
12111,20030168,Italy,Mobility and Transport,1,1,0,2003-01-23,5/13/03,,5/13/03,2003,107,4/9/06,0,0,-0.940057362,1172,3.0054,3.8459,2.34213704,1.085311693,0.47802683,-0.636358644,0.274860149,0.0,,,,,-1.03732397
12095,20030151,Italy,Enterprise and Industry,1,1,0,2003-01-23,7/9/03,,7/9/03,2003,107,4/9/06,0,0,-0.972005637,1172,3.0054,3.8459,2.34213704,1.085311693,0.47802683,-0.636358644,0.274860149,0.0,,,,,-1.03732397
12100,20030156,Italy,Environment,1,1,1,2003-01-23,7/9/03,12/16/03,7/9/03,2003,107,4/9/06,0,0,-1.195643564,1172,3.0054,3.8459,2.34213704,1.085311693,0.47802683,-0.636358644,0.274860149,0.0,,,,,-1.03732397
12102,20030158,Italy,Internal Market and Services,1,1,0,2003-01-23,10/15/03,,10/15/03,2003,107,4/9/06,0,0,-1.099798738,1172,3.0054,3.8459,2.34213704,1.085311693,0.47802683,-0.636358644,0.274860149,0.0,,,,,-1.03732397
