tweet_count,total_users,total_suspended,fraction_suspended
1,24387,1076,0.04412186820847173
2,4072,200,0.04911591355599214
3,1342,69,0.05141579731743666
4,558,27,0.04838709677419355
5,317,17,0.05362776025236593
6,206,10,0.04854368932038835
7,140,8,0.05714285714285714
8,112,10,0.08928571428571429
9,81,7,0.08641975308641975
10,74,3,0.04054054054054054
11,61,5,0.08196721311475409
12,49,3,0.061224489795918366
13,37,0,0.0
14,24,1,0.041666666666666664
15,32,4,0.125
16,25,1,0.04
17,21,0,0.0
18,17,1,0.058823529411764705
19,18,1,0.05555555555555555
20,19,4,0.21052631578947367
21,25,5,0.2
22,12,2,0.16666666666666666
23,13,1,0.07692307692307693
24,18,0,0.0
25,15,1,0.06666666666666667
26,15,5,0.3333333333333333
27,12,1,0.08333333333333333
28,10,0,0.0
29,8,1,0.125
30,9,2,0.2222222222222222
31,7,0,0.0
32,9,2,0.2222222222222222
33,8,0,0.0
34,2,0,0.0
35,5,0,0.0
36,5,1,0.2
37,8,0,0.0
38,7,1,0.14285714285714285
39,7,0,0.0
40,5,0,0.0
41,5,1,0.2
42,6,0,0.0
43,5,0,0.0
44,7,1,0.14285714285714285
45,5,0,0.0
46,3,0,0.0
47,7,0,0.0
48,4,0,0.0
49,3,0,0.0
50,3,0,0.0
52,7,1,0.14285714285714285
53,1,0,0.0
54,1,0,0.0
55,4,0,0.0
56,3,0,0.0
57,2,1,0.5
58,3,0,0.0
59,1,0,0.0
60,1,0,0.0
61,2,0,0.0
62,2,1,0.5
63,1,0,0.0
64,1,0,0.0
65,1,0,0.0
66,1,0,0.0
68,2,0,0.0
70,1,0,0.0
71,2,1,0.5
72,1,0,0.0
74,1,0,0.0
84,1,0,0.0
88,2,1,0.5
90,1,0,0.0
107,1,0,0.0
118,1,0,0.0
126,1,1,1.0
167,2,0,0.0
171,1,0,0.0
197,1,0,0.0
220,1,0,0.0
245,1,0,0.0
268,1,0,0.0
1255,1,0,0.0
